******************************************** REINFORCEMENT LEARNING AI LOGBOOK ********************************************
2021-02-08_21-23-22 || Version: 2


------------------------------------------- NOTES -------------------------------------------
More episodes

------------------------------------------- GAME INFORMATION -------------------------------------------
Number of Fields: 36 || Number of Pieces Per Player: 6

        REWARDS for...
...Valid Steps: 0.2 || ...Milestones: 1 || ...Winning: 1 || ...Loosing: -1


------------------------------------------- SIMULATION INFORMATION -------------------------------------------
Action Space Size: 216 || State Space Size: 258048 || Q-Table Size: 55738368
Learning Rate: 0.1 || Discount Rate: 0.99
Number of Episodes: 1000000

        EXPLORATION...
...Starting Rate: 1 || ...Maximum Rate: 1 || ...Minimum Rate: 0.0000001 || ...Decay Rate: 0.000001


------------------------------------------- STATISTICS PER 5000 EPISODES -------------------------------------------
Rewards: -1.00 || Valid Steps: 2.15 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 0 to 5000
Rewards: -0.99 || Valid Steps: 3.33 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 5000 to 10000
Rewards: -0.99 || Valid Steps: 3.57 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 10000 to 15000
Rewards: -0.99 || Valid Steps: 4.38 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 15000 to 20000
Rewards: -0.99 || Valid Steps: 4.65 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 20000 to 25000
Rewards: -0.99 || Valid Steps: 4.62 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 25000 to 30000
Rewards: -0.99 || Valid Steps: 5.48 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 30000 to 35000
Rewards: -0.99 || Valid Steps: 5.70 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 35000 to 40000
Rewards: -0.99 || Valid Steps: 6.47 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 40000 to 45000
Rewards: -0.99 || Valid Steps: 6.82 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 45000 to 50000
Rewards: -0.98 || Valid Steps: 7.34 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 50000 to 55000
Rewards: -0.98 || Valid Steps: 7.70 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 55000 to 60000
Rewards: -0.98 || Valid Steps: 8.07 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 60000 to 65000
Rewards: -0.98 || Valid Steps: 8.73 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 65000 to 70000
Rewards: -0.98 || Valid Steps: 8.89 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 70000 to 75000
Rewards: -0.98 || Valid Steps: 9.44 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 75000 to 80000
