******************************************** REINFORCEMENT LEARNING AI LOGBOOK ********************************************
2021-02-20_17-08-12 || Version: 2 || Simulation Episode: 2


------------------------------------------- NOTES -------------------------------------------
Rewards for Valid Steps, only + more episodes and decreased exploration_decay_rate

------------------------------------------- GAME INFORMATION -------------------------------------------
Number of Fields: 36 || Number of Pieces Per Player: 6

        REWARDS for...
...Valid Steps: 1 || ...Milestones: 0 || ...Winning: 0 || ...Loosing: 0


------------------------------------------- SIMULATION INFORMATION -------------------------------------------
Action Space Size: 216 || State Space Size: 258048 || Q-Table Size: 55738368
Learning Rate: 0.1 || Discount Rate: 0.99
Number of Episodes: 4000000

        EXPLORATION...
...Starting Rate: 1 || ...Maximum Rate: 1 || ...Minimum Rate: 0.0000001 || ...Decay Rate: 0.0000045


------------------------------------------- STATISTICS PER 25000 EPISODES -------------------------------------------
Rewards: 0.08 || Valid Steps: 7.32 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 0 to 25000
Rewards: 0.21 || Valid Steps: 17.53 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 25000 to 50000
Rewards: 0.35 || Valid Steps: 26.12 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 50000 to 75000
Rewards: 0.52 || Valid Steps: 34.04 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 75000 to 100000
Rewards: 0.69 || Valid Steps: 40.78 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 100000 to 125000
Rewards: 0.89 || Valid Steps: 47.06 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 125000 to 150000
Rewards: 1.11 || Valid Steps: 52.68 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 150000 to 175000
Rewards: 1.36 || Valid Steps: 57.65 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 175000 to 200000
Rewards: 1.63 || Valid Steps: 62.02 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 200000 to 225000
Rewards: 1.97 || Valid Steps: 66.32 % || Milestones: 0.02 % || Wins: 0.00 % / 0 || Episodes: 225000 to 250000
Rewards: 2.30 || Valid Steps: 69.73 % || Milestones: 0.02 % || Wins: 0.00 % / 0 || Episodes: 250000 to 275000
Rewards: 2.61 || Valid Steps: 72.32 % || Milestones: 0.03 % || Wins: 0.00 % / 0 || Episodes: 275000 to 300000
